dataset,instrument,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,median_frac_session_to_touch
Dukascopy_1m,USDCAD,FX,BROKER,2016-2026,Fri->Mon,554,262,146,0.5572519083969466,0.4967097296103359,0.6161394856064469,0.44404332129963897,0.3424657534246575,0.2147861549722891,0.13220847802399377,0.29339088419413306,4.132175332054128e-07,0.4352843389327501,0.1973946064939686,0.9754340443011336,0.1798611111111111
Dukascopy_1m,USDCHF,FX,BROKER,2016-2026,Fri->Mon,554,298,142,0.47651006711409394,0.42046407164109173,0.533153963287912,0.4548736462093863,0.4296875,0.04682256711409394,-0.03619154485054059,0.1287274747761874,0.3045345337152028,0.0940954948928312,-0.3125561763613952,-1.556887447500618,0.1798611111111111
Dukascopy_1m,USDJPY,FX,BROKER,2016-2026,Fri->Mon,555,295,144,0.488135593220339,0.4316150076374913,0.5449612009393783,0.4126126126126126,0.3269230769230769,0.16121251629726208,0.07937967731146386,0.23969872038320583,0.00014012899996455669,0.3297373456762611,0.31552890479595863,1.543381519817044,0.1798611111111111
Dukascopy_1m,WTIUSD,COMMOD,BROKER,2016-2026,Fri->Mon,536,268,140,0.5223880597014925,0.4626929976832546,0.5814503793132437,0.458955223880597,0.39552238805970147,0.12686567164179102,0.042496785426304695,0.20871669697285847,0.004187057658287682,0.2552975725078823,0.0724464170499601,0.3620167362132536,0.17028985507246377
Dukascopy_1m,XAGUSD,COMMOD,BROKER,2016-2026,Fri->Mon,536,268,124,0.4626865671641791,0.40393978588600177,0.5224879191198342,0.4085820895522388,0.35447761194029853,0.10820895522388058,0.024978997872712433,0.1893519824679757,0.013796830874931781,0.22062240016541068,-0.14015375082210382,-0.6780698955208115,0.17028985507246377
Dukascopy_1m,XAUUSD,COMMOD,BROKER,2016-2026,Fri->Mon,536,264,132,0.5,0.44012035809568223,0.5598796419043177,0.42350746268656714,0.3492647058823529,0.15073529411764708,0.06709374292401263,0.23150150518310625,0.0004676645226057253,0.30623462384595546,-0.08977793767293105,-0.4287758769823301,0.17028985507246377
Dukascopy_1m,POOL_COMMOD,COMMOD,BROKER,2016-2026,Fri->Mon,1608,800,396,0.495,0.4604609062223737,0.5295868825396832,0.43034825870646765,0.36633663366336633,0.12866336633663367,0.08035096711228532,0.17613473336237895,2.0660654475249976e-07,0.26061755991941693,-0.05175954382598506,-0.4380493769369093,0.17028985507246377
Dukascopy_1m,POOL_CRYPTO,CRYPTO,BROKER,2016-2026,Fri->Mon,483,275,124,0.4509090909090909,0.39317835721796035,0.5099924262294104,0.42028985507246375,0.3798076923076923,0.07110139860139864,-0.017774011232718448,0.1576273572889786,0.1363544980455207,0.14442181904381934,-0.009342432068991597,-0.04651575636686167,0.03784722222222223
Dukascopy_1m,POOL_FX,FX,BROKER,2016-2026,Fri->Mon,3327,1761,875,0.49687677455990914,0.4735566854002406,0.5202104601158498,0.4307183648932973,0.3563218390804598,0.14055493547944936,0.10705899514963713,0.17355935324853655,2.7625365755243734e-16,0.28521911071509853,-0.015335932717261474,-0.18398402816273413,0.1798611111111111
Dukascopy_1m,POOL_US_INDEX,US_INDEX,BROKER,2016-2026,Fri->Mon,1076,475,236,0.4968421052631579,0.4520843930978001,0.5416504852325175,0.3819702602230483,0.2911813643926789,0.20566074087047903,0.14723368125392683,0.2624591576543136,7.176847597531456e-12,0.4245275635051424,0.44082186320870653,3.016674343064802,0.10936329588014981
Dukascopy_1m,AUDUSD,FX,NYFX,2016-2026,Fri->Mon,555,297,148,0.4983164983164983,0.44183820653373623,0.5548377835245488,0.43243243243243246,0.35658914728682173,0.1417273510296766,0.0592110144048371,0.22125858139479085,0.0008174251126210601,0.2875404817874381,-0.07465363209029151,-0.36076619720616926,
Dukascopy_1m,BTCUSD,CRYPTO,NYFX,2016-2026,Fri->Mon,483,260,120,0.46153846153846156,0.4019427651126266,0.5222541367336752,0.42857142857142855,0.3901345291479821,0.07140393239047949,-0.01705001409357844,0.15792703984765388,0.11800133169469121,0.14453952259542224,-0.05692907131674028,-0.28267429195795407,
Dukascopy_1m,EURUSD,FX,NYFX,2016-2026,Fri->Mon,555,303,154,0.5082508250825083,0.4522100782615741,0.5640849817971836,0.42342342342342343,0.32142857142857145,0.18682225365393684,0.10474231800318415,0.26492198776842185,1.0362014311382693e-05,0.3817096204593189,0.18174909485876414,0.8668401679500556,
Dukascopy_1m,GBPUSD,FX,NYFX,2016-2026,Fri->Mon,554,306,141,0.46078431372549017,0.4057664120181935,0.5167746188323975,0.41696750902527074,0.3629032258064516,0.09788108791903855,0.015352800580114359,0.17801724731192314,0.02418932608207571,0.19923900354101565,-0.3431716530652651,-1.6126728570519349,
Dukascopy_1m,NAS100,US_INDEX,NYFX,2016-2026,Fri->Mon,538,239,120,0.502092050209205,0.4391731062245541,0.5649448067745535,0.395910780669145,0.3110367892976589,0.19105526091154612,0.10775621183478655,0.27124255988020635,8.622095547680306e-06,0.39173969919641194,0.43258293160951655,2.1143263414749134,
Dukascopy_1m,US500,US_INDEX,NYFX,2016-2026,Fri->Mon,538,236,116,0.4915254237288136,0.4283916327492647,0.5549306835021954,0.3680297397769517,0.271523178807947,0.22000224492086656,0.13770216769347948,0.2989614258701024,1.6602779686340597e-07,0.4576173751565511,0.45579611544978005,2.175567507242422,
Dukascopy_1m,USDCAD,FX,NYFX,2016-2026,Fri->Mon,554,262,146,0.5572519083969466,0.4967097296103359,0.6161394856064469,0.44404332129963897,0.3424657534246575,0.2147861549722891,0.13220847802399377,0.29339088419413306,4.132175332054128e-07,0.4352843389327501,0.1973946064939686,0.9754340443011336,
Dukascopy_1m,USDCHF,FX,NYFX,2016-2026,Fri->Mon,554,298,142,0.47651006711409394,0.42046407164109173,0.533153963287912,0.4548736462093863,0.4296875,0.04682256711409394,-0.03619154485054059,0.1287274747761874,0.3045345337152028,0.0940954948928312,-0.3125561763613952,-1.556887447500618,
Dukascopy_1m,USDJPY,FX,NYFX,2016-2026,Fri->Mon,555,295,144,0.488135593220339,0.4316150076374913,0.5449612009393783,0.4126126126126126,0.3269230769230769,0.16121251629726208,0.07937967731146386,0.23969872038320583,0.00014012899996455669,0.3297373456762611,0.31552890479595863,1.543381519817044,
Dukascopy_1m,WTIUSD,COMMOD,NYFX,2016-2026,Fri->Mon,536,268,140,0.5223880597014925,0.4626929976832546,0.5814503793132437,0.458955223880597,0.39552238805970147,0.12686567164179102,0.042496785426304695,0.20871669697285847,0.004187057658287682,0.2552975725078823,0.07229167710126418,0.3612387475682077,
Dukascopy_1m,XAGUSD,COMMOD,NYFX,2016-2026,Fri->Mon,536,268,124,0.4626865671641791,0.40393978588600177,0.5224879191198342,0.4085820895522388,0.35447761194029853,0.10820895522388058,0.024978997872712433,0.1893519824679757,0.013796830874931781,0.22062240016541068,-0.14016613017765783,-0.6781325102653994,
Dukascopy_1m,XAUUSD,COMMOD,NYFX,2016-2026,Fri->Mon,536,264,132,0.5,0.44012035809568223,0.5598796419043177,0.42350746268656714,0.3492647058823529,0.15073529411764708,0.06709374292401263,0.23150150518310625,0.0004676645226057253,0.30623462384595546,-0.08977793767293105,-0.4287758769823301,
Dukascopy_1m,POOL_COMMOD,COMMOD,NYFX,2016-2026,Fri->Mon,1608,800,396,0.495,0.4604609062223737,0.5295868825396832,0.43034825870646765,0.36633663366336633,0.12866336633663367,0.08035096711228532,0.17613473336237895,2.0660654475249976e-07,0.26061755991941693,-0.0518135908839388,-0.4385054744605708,
Dukascopy_1m,POOL_CRYPTO,CRYPTO,NYFX,2016-2026,Fri->Mon,483,260,120,0.46153846153846156,0.4019427651126266,0.5222541367336752,0.42857142857142855,0.3901345291479821,0.07140393239047949,-0.01705001409357844,0.15792703984765388,0.11800133169469121,0.14453952259542224,-0.05692907131674028,-0.28267429195795407,
Dukascopy_1m,POOL_FX,FX,NYFX,2016-2026,Fri->Mon,3327,1761,875,0.49687677455990914,0.4735566854002406,0.5202104601158498,0.4307183648932973,0.3563218390804598,0.14055493547944936,0.10705899514963713,0.17355935324853655,2.7625365755243734e-16,0.28521911071509853,-0.015335932717261474,-0.18398402816273413,
Dukascopy_1m,POOL_US_INDEX,US_INDEX,NYFX,2016-2026,Fri->Mon,1076,475,236,0.4968421052631579,0.4520843930978001,0.5416504852325175,0.3819702602230483,0.2911813643926789,0.20566074087047903,0.14723368125392683,0.2624591576543136,7.176847597531456e-12,0.4245275635051424,0.44082186320870653,3.016674343064802,
Dukascopy_1m,AUDUSD,FX,UTC,2016-2026,Fri->Mon,555,304,147,0.48355263157894735,0.42793368942709964,0.5395820570278813,0.42342342342342343,0.350597609561753,0.13295502201719434,0.050494805796013495,0.21243702982570792,0.0018735573231928814,0.27053929825242107,-0.08382546954606045,-0.40817243237247774,
Dukascopy_1m,BTCUSD,CRYPTO,UTC,2016-2026,Fri->Mon,483,275,124,0.4509090909090909,0.39317835721796035,0.5099924262294104,0.42028985507246375,0.3798076923076923,0.07110139860139864,-0.017774011232718448,0.1576273572889786,0.1363544980455207,0.14442181904381934,-0.009342432068991597,-0.04651575636686167,
Dukascopy_1m,EURUSD,FX,UTC,2016-2026,Fri->Mon,555,307,149,0.48534201954397393,0.4299629113917932,0.5410834218928811,0.41081081081081083,0.3185483870967742,0.16679363244719975,0.0848655029410577,0.2449900612365546,9.067514350031555e-05,0.34206147686299593,0.09518094064550801,0.4605854729535087,
