sessdef,family,rule,fill_rate,win,loss,meanR_gross_trig,n_trig,n_opp,meanR_trig,meanR_opp,medR_trig,trig_ci_lo,trig_ci_hi,p_trig_vs_zero,diff,diff_ci_lo,diff_ci_hi,p_diff
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 2.0 (4.0R),0.30344827586206896,0.0,0.05307262569832402,0.018066998300897752,123,141,-0.06268685708713485,-0.1283490662860152,-0.1395116209404471,-0.218882080789083,0.11145634036283056,0.415,0.06566220919888034,-0.1695962599515112,0.2890164466467587,0.5733333333333334
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 1.0 (1.3R),0.30344827586206896,0.019553072625698324,0.025139664804469275,0.007678499940363956,123,141,-0.04615740365165778,-0.085790517391777,-0.0930077472936314,-0.16276251195581057,0.08379899923540461,0.485,0.039633113740119214,-0.10997113308745171,0.19578821677771321,0.5966666666666667
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 1.5 (2.0R),0.30344827586206896,0.00558659217877095,0.025139664804469275,0.010850268221938544,123,141,-0.04298563537008319,-0.08769138803988327,-0.0930077472936314,-0.16258913491669486,0.08649175209508983,0.555,0.044705752669800085,-0.10957575777676135,0.1960491122519403,0.5666666666666667
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 2.0 (2.7R),0.30344827586206896,0.0,0.025139664804469275,-0.006038311382273184,123,141,-0.05987421497429492,-0.07837449772664123,-0.0930077472936314,-0.1741193683124982,0.059140517653614874,0.31666666666666665,0.018500282752346317,-0.1402619444529625,0.1672415050850782,0.795
RTH,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 0.5 ATR (2.0R),0.37065637065637064,0.2903225806451613,0.2626728110599078,0.9364703171718604,217,167,0.805417305272319,0.2629746893783516,0.4213320967954598,0.3798292944033051,1.256527459782606,0.0,0.5424426158939675,0.022864132138935494,1.138463435767297,0.04666666666666667
RTH,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 1.0 ATR (4.0R),0.37065637065637064,0.14285714285714285,0.28110599078341014,0.8051495245825396,217,167,0.6740965126829983,0.17795947990147,-0.15841002185851938,0.22180683416957592,1.1415473878628268,0.0033333333333333335,0.4961370327815283,-0.06862715706698148,1.0996516598058448,0.105
RTH,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 1.5 ATR (6.0R),0.37065637065637064,0.10138248847926268,0.271889400921659,0.9281147582503846,217,167,0.7970617463508434,0.08222947758738905,-0.12146858019306858,0.3272462579613508,1.2725803969128027,0.0,0.7148322687634543,0.12499946370169479,1.3088818326346254,0.02
RTH,D3a INVALID (incl. gap-through),stop 0.5 ATR / target 0.5 ATR (1.0R),0.37065637065637064,0.31797235023041476,0.1935483870967742,0.44937541474003423,217,167,0.38384890879026357,0.16127526135121165,0.28190617077288743,0.1644590275857199,0.6133640917598545,0.0,0.22257364743905192,-0.06033551028000392,0.5210516731179716,0.13166666666666665
RTH,D3a INVALID (incl. gap-through),stop 0.5 ATR / target 1.0 ATR (2.0R),0.37065637065637064,0.14285714285714285,0.21658986175115208,0.3622853508649419,217,167,0.2967588449151712,0.10237690429960698,0.02306033445086747,0.052994415264233395,0.531720324306349,0.015,0.19438194061556419,-0.09796734858276829,0.5067977543448696,0.205
RTH,D3a INVALID (incl. gap-through),stop 0.5 ATR / target 1.5 ATR (3.0R),0.37065637065637064,0.10138248847926268,0.2073732718894009,0.42741449234002477,217,167,0.3618879863902541,0.05437622897278186,0.0439825504097779,0.1050052828697067,0.6207934125259128,0.005,0.3075117574174722,-0.006454955008443989,0.6231526951551706,0.055
RTH,D3a INVALID (incl. gap-through),stop 0.75 ATR / target 0.5 ATR (0.7R),0.37065637065637064,0.3225806451612903,0.08294930875576037,0.3130488099108592,217,167,0.26936447261101204,0.09477691897095984,0.23621215565371004,0.10787438370795902,0.4487072389407011,0.0,0.17458755364005218,-0.030856735330152457,0.3837241445491498,0.09833333333333333
RTH,D3a INVALID (incl. gap-through),stop 0.75 ATR / target 1.0 ATR (1.3R),0.37065637065637064,0.14285714285714285,0.10138248847926268,0.2535360870758588,217,167,0.20985174977601168,0.05786918425607949,0.050308788995579015,0.02910055261196299,0.38043297936074894,0.023333333333333334,0.1519825655199322,-0.053849157709408846,0.38342844310983537,0.17
RTH,D3a INVALID (incl. gap-through),stop 0.75 ATR / target 1.5 ATR (2.0R),0.37065637065637064,0.10599078341013825,0.09216589861751152,0.28939641777580133,217,167,0.24571208047595425,0.02586873403819614,0.05235314871324319,0.07464639593075274,0.40678251358777145,0.0033333333333333335,0.2198433464377581,0.009014200319248947,0.4162237943320906,0.04666666666666667
RTH,D3b short break of Friday low,stop 0.25 ATR / target 0.5 ATR (2.0R),0.25057471264367814,0.32407407407407407,0.14814814814814814,0.14972482329576162,108,110,0.02009209244763894,-0.1725759826805516,-0.04636724702778863,-0.3366332118092305,0.3490248263229838,0.8866666666666667,0.19266807512819054,-0.24247871530371679,0.6784534901885031,0.415
RTH,D3b short break of Friday low,stop 0.25 ATR / target 1.0 ATR (4.0R),0.25057471264367814,0.07407407407407407,0.14814814814814814,-0.031037102761622724,108,110,-0.1606698336097454,-0.2603567548034136,-0.4360778064401072,-0.5655476175761026,0.28294358769130107,0.4483333333333333,0.09968692119366818,-0.4881326478446501,0.6616810401051373,0.725
RTH,D3b short break of Friday low,stop 0.25 ATR / target 1.5 ATR (6.0R),0.25057471264367814,0.018518518518518517,0.14814814814814814,-0.031084117608208287,108,110,-0.16071684845633094,-0.3819339011332879,-0.4360778064401072,-0.5714769637980014,0.26851036080457286,0.415,0.22121705267695696,-0.3271191272035603,0.7818214197564829,0.5233333333333333
RTH,D3b short break of Friday low,stop 0.5 ATR / target 0.5 ATR (1.0R),0.25057471264367814,0.35185185185185186,0.1388888888888889,0.10789561092818226,108,110,0.04307924550412091,-0.028192088791631244,0.07003569386266871,-0.1285355634171406,0.20927940262696587,0.62,0.07127133429575215,-0.1667300659471168,0.3049813007068876,0.5383333333333333
RTH,D3b short break of Friday low,stop 0.5 ATR / target 1.0 ATR (2.0R),0.25057471264367814,0.07407407407407407,0.1388888888888889,0.0012233543126712095,108,110,-0.06359301111139011,-0.08587411226434595,-0.13383176369561534,-0.2816085325867565,0.1505251543639355,0.5716666666666667,0.02228110115295584,-0.2634594275974175,0.29823389733448713,0.89
RTH,D3b short break of Friday low,stop 0.5 ATR / target 1.5 ATR (3.0R),0.25057471264367814,0.018518518518518517,0.1388888888888889,0.0011998468893784353,108,110,-0.06361651853468288,-0.14666268542928315,-0.13383176369561534,-0.2757249648965914,0.18036187726442066,0.5766666666666667,0.08304616689460027,-0.2023799982285722,0.37245525865754564,0.575
RTH,D3b short break of Friday low,stop 0.75 ATR / target 0.5 ATR (0.7R),0.25057471264367814,0.35185185185185186,0.037037037037037035,0.0739895051946854,108,110,0.03077859491197786,-0.03398398663830002,0.04669046257511247,-0.0847216081673826,0.14028753229834412,0.6116666666666667,0.06476258155027788,-0.10450080403642699,0.2282328010675246,0.455
RTH,D3b short break of Friday low,stop 0.75 ATR / target 1.0 ATR (1.3R),0.25057471264367814,0.07407407407407407,0.037037037037037035,0.0028746674510114006,108,110,-0.04033624283169617,-0.06901173607778686,-0.0892211757970769,-0.1880290001785877,0.10479274613213463,0.5533333333333333,0.028675493246090693,-0.15409093638950178,0.2298794835895981,0.795
RTH,D3b short break of Friday low,stop 0.75 ATR / target 1.5 ATR (2.0R),0.25057471264367814,0.018518518518518517,0.037037037037037035,0.0028589958354828843,108,110,-0.040351914447224684,-0.10953745152107836,-0.0892211757970769,-0.194392812771127,0.11499443918389372,0.5416666666666666,0.06918553707385366,-0.13102255300095067,0.26642372192233565,0.47333333333333333
BROKER,D1 short at Monday open,stop 0.5 ATR / target 0.5 ATR (1.0R),1.0,0.3292079207920792,0.39851485148514854,-0.09541494993450185,404,555,-0.15900042555659114,-0.18620554655987273,-0.31787171050642254,-0.26502800503211843,-0.05233629094533802,0.0033333333333333335,0.027205121003281596,-0.1058591328007968,0.15872532033860426,0.65
BROKER,D1 short at Monday open,stop 0.5 ATR / target 1.0 ATR (2.0R),1.0,0.13366336633663367,0.41089108910891087,-0.07287168186298743,404,555,-0.13645715748507672,-0.20604385671984504,-0.4708113102417093,-0.2632800967344003,-0.009354351441371892,0.043333333333333335,0.06958669923476832,-0.08440201431607951,0.22963739575233066,0.39666666666666667
BROKER,D1 short at Monday open,stop 0.5 ATR / target 1.5 ATR (3.0R),1.0,0.05693069306930693,0.41089108910891087,-0.052371725172130255,404,555,-0.11595720079421955,-0.22082896060119367,-0.4734596295556841,-0.25139066760525214,0.023917283655412878,0.115,0.10487175980697412,-0.05488531992982742,0.2771372650570209,0.18666666666666668
BROKER,D1 short at Monday open,stop 0.5 ATR / target 2.0 ATR (4.0R),1.0,0.024752475247524754,0.41089108910891087,-0.06713809941200212,404,555,-0.13072357503409143,-0.2302803464136907,-0.4854149580589935,-0.26823338788081585,0.027550274630954174,0.10333333333333333,0.09955677137959926,-0.06799559708307466,0.2804289535682137,0.225
BROKER,D1 short at Monday open,stop 0.75 ATR / target 0.5 ATR (0.7R),1.0,0.349009900990099,0.2103960396039604,-0.07690007699939308,404,555,-0.11929039408078591,-0.14479155208970873,-0.06774610488841717,-0.20064597850317145,-0.03770787699322137,0.0016666666666666668,0.025501158008922817,-0.0731658479246897,0.12757750231689358,0.62
BROKER,D1 short at Monday open,stop 0.75 ATR / target 1.0 ATR (1.3R),1.0,0.14603960396039603,0.22277227722772278,-0.06149034657291352,404,555,-0.10388066365430637,-0.1595904277551706,-0.17942411311498874,-0.2003691396475244,-0.006020216103600253,0.041666666666666664,0.05570976410086423,-0.06451594469864008,0.168640584031119,0.38333333333333336
BROKER,D1 short at Monday open,stop 0.75 ATR / target 1.5 ATR (2.0R),1.0,0.06188118811881188,0.22277227722772278,-0.04528507720910644,404,555,-0.0876753942904993,-0.16944716367606966,-0.19465881797272316,-0.19545949603476237,0.02366466581194132,0.13166666666666665,0.08177176938557036,-0.04576564278094814,0.20842596396574567,0.19833333333333333
BROKER,D1 short at Monday open,stop 0.75 ATR / target 2.0 ATR (2.7R),1.0,0.027227722772277228,0.22277227722772278,-0.05257029202714331,404,555,-0.09496060910853618,-0.17574808755106772,-0.21191447367094834,-0.19731262083503015,0.012922630749362266,0.07833333333333334,0.08078747844253154,-0.03999910381833624,0.205226324412534,0.20333333333333334
BROKER,D1 short at Monday open,stop 1.0 ATR / target 0.5 ATR (0.5R),1.0,0.36386138613861385,0.09653465346534654,-0.04716207948321189,404,555,-0.07895481729425653,-0.11342998727832646,-0.018395060195167984,-0.1439659149014346,-0.014126781669896421,0.016666666666666666,0.03447516998406992,-0.047378981385514336,0.11379716784431591,0.44166666666666665
BROKER,D1 short at Monday open,stop 1.0 ATR / target 1.0 ATR (1.0R),1.0,0.15099009900990099,0.10891089108910891,-0.043503057245281536,404,555,-0.07529579505632619,-0.12272734222562101,-0.10868587260425504,-0.15388520577685108,-0.00030136742118285024,0.05,0.04743154716929482,-0.04445159796274923,0.13892566076250104,0.29333333333333333
BROKER,D1 short at Monday open,stop 1.0 ATR / target 1.5 ATR (1.5R),1.0,0.06188118811881188,0.10891089108910891,-0.03288576768801231,404,555,-0.06467850549905695,-0.12979585527977106,-0.11376947881451097,-0.14549741707046518,0.01744803989454538,0.13666666666666666,0.06511734978071411,-0.030643145474632254,0.1603777548173836,0.205
BROKER,D1 short at Monday open,stop 1.0 ATR / target 2.0 ATR (2.0R),1.0,0.027227722772277228,0.10891089108910891,-0.038349678801539965,404,555,-0.07014241661258462,-0.13452154818601958,-0.1178943844880887,-0.157343400759237,0.013552056845250047,0.11833333333333333,0.06437913157343496,-0.0364865721055779,0.16600161874360955,0.21833333333333332
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 1.0 (2.0R),0.6527632950990615,0.08168316831683169,0.2202970297029703,0.0019202779004356685,289,337,-0.06042116749565823,-0.19999422120551744,-0.2313676358457899,-0.19531436289628754,0.08076013737452863,0.385,0.1395730537098592,-0.030823738664490372,0.3044599096945063,0.13
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 1.5 (3.0R),0.6527632950990615,0.0297029702970297,0.22277227722772278,0.005500449446456179,289,337,-0.05684099594963774,-0.19447734976130057,-0.23371435501718726,-0.2082026062338222,0.11268034322468846,0.46166666666666667,0.13763635381166284,-0.05387395669987649,0.3270518706585985,0.13666666666666666
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 2.0 (4.0R),0.6527632950990615,0.017326732673267328,0.22277227722772278,0.014012914136833204,289,337,-0.04832853125926069,-0.19672444729410496,-0.23371435501718726,-0.20723610488092423,0.10977781502259505,0.5433333333333333,0.14839591603484426,-0.029485164274379826,0.3297032917179592,0.10166666666666667
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 1.0 (1.3R),0.6527632950990615,0.09405940594059406,0.10643564356435643,0.018023728135144426,289,337,-0.023537235462251484,-0.14197106095058198,-0.12187521079257498,-0.13679705822134122,0.08718291661214896,0.675,0.11843382548833051,-0.016578884257267376,0.2558757870912413,0.08166666666666667
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 1.5 (2.0R),0.6527632950990615,0.0297029702970297,0.10891089108910891,0.005676323845052629,289,337,-0.03588463975234329,-0.1343366679205106,-0.126628508780841,-0.14844319220381183,0.0832547912040332,0.5116666666666667,0.09845202816816731,-0.03633491714681577,0.24528545301140975,0.16166666666666665
BROKER,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 2.0 (2.7R),0.6527632950990615,0.017326732673267328,0.10891089108910891,0.011351300305303976,289,337,-0.030209663292091942,-0.13710143291460186,-0.126628508780841,-0.139281840346051,0.09971202737368949,0.635,0.10689176962250992,-0.031530191334943565,0.24942294659693132,0.13166666666666665
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 1.0 (2.0R),0.36287799791449427,0.034653465346534656,0.10643564356435643,-0.017322933212382027,166,182,-0.07856635269654527,-0.1998134331448368,-0.20701239343110403,-0.24014238159718565,0.0938587974053348,0.3433333333333333,0.12124708044829152,-0.06616283119439854,0.31867198946101777,0.24
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 1.5 (3.0R),0.36287799791449427,0.017326732673267328,0.10891089108910891,-0.03439946253940031,166,182,-0.09564288202356357,-0.19685089876991102,-0.22051255975217704,-0.26522103499401994,0.08723233217755023,0.27666666666666667,0.10120801674634745,-0.10365366823663595,0.30417616067657516,0.33
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 2.0 (4.0R),0.36287799791449427,0.0049504950495049506,0.10891089108910891,-0.03261158627935671,166,182,-0.09385500576351996,-0.1948746176488015,-0.22051255975217704,-0.256026582142675,0.09532964938851815,0.31833333333333336,0.10101961188528155,-0.10346013586188545,0.31812568948586606,0.3416666666666667
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 1.0 (1.3R),0.36287799791449427,0.034653465346534656,0.05198019801980198,-0.03849249058510428,166,182,-0.07932143690787978,-0.1346633051968097,-0.1277039958730795,-0.19581169246688676,0.04205876997903539,0.195,0.05534186828892991,-0.0864183725076511,0.2051223449185131,0.4766666666666667
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 1.5 (2.0R),0.36287799791449427,0.017326732673267328,0.054455445544554455,-0.05188487559829719,166,182,-0.09271382192107269,-0.13272361672067165,-0.13587243069488497,-0.21562780464855832,0.030380252238288465,0.14666666666666667,0.04000979479959896,-0.10673603751880066,0.18667345631616253,0.6683333333333333
BROKER,D2 short limit above open,entry +0.5 ATR / stop 0.75 / target 2.0 (2.7R),0.36287799791449427,0.0049504950495049506,0.054455445544554455,-0.05069295809160148,166,182,-0.09152190441437695,-0.13140609597326527,-0.13587243069488497,-0.22054541253434617,0.04158988897083835,0.17,0.039884191558888324,-0.10456547023521642,0.18754160348835297,0.6616666666666666
BROKER,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 0.5 ATR (2.0R),0.3819702602230483,0.3516949152542373,0.2796610169491525,0.22090002355530375,236,175,0.10004140937930969,-0.016377042624409505,-0.45263376211749595,-0.17615608031958543,0.39632717444881366,0.5316666666666666,0.1164184520037192,-0.2809614221509605,0.5262126286139153,0.585
BROKER,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 1.0 ATR (4.0R),0.3819702602230483,0.17372881355932204,0.3093220338983051,0.1810410902787696,236,175,0.06018247610277554,-0.22733067821090333,-0.9446258921215449,-0.2980962273856704,0.415778195098431,0.705,0.28751315431367885,-0.17814150449986668,0.7479211794185819,0.22333333333333333
BROKER,D3a INVALID (incl. gap-through),stop 0.25 ATR / target 1.5 ATR (6.0R),0.3819702602230483,0.09745762711864407,0.3177966101694915,0.2426146762419694,236,175,0.12175606206597536,-0.17970324172237015,-1.0335653634109105,-0.2780171269552218,0.5528094348211533,0.5866666666666667,0.3014593037883455,-0.23819824495773986,0.8501112704076607,0.29833333333333334
