control,dataset,asset_group,session_def,B_weekday,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,n,recon_accuracy,observed_uplift,shuffle_mean,shuffle_sd,shuffle_p,shuffle_q95,randtrig_mean,randtrig_sd
adjacent_weekday_down,Dukascopy_1m,COMMOD,BROKER,Mon,1650.0,807.0,416.0,0.5154894671623296,0.481017337582384,0.5498148303192925,0.4593939393939394,0.40569395017793597,0.1097955169843936,0.06172574603067915,0.15716650275481722,8.579833940597214e-06,0.2207325795959969,-0.1457155256816064,-1.2429104241391198,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,CRYPTO,BROKER,Mon,485.0,236.0,117.0,0.4957627118644068,0.4325543454350819,0.5591068126906481,0.4329896907216495,0.37349397590361444,0.12226873596079235,0.03402392402724701,0.20797569738363655,0.007814518757256942,0.24731766278638156,0.05841061906654115,0.27860041263134894,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,FX,BROKER,Mon,3333.0,1792.0,1032.0,0.5758928571428571,0.5528727548215657,0.5985882768101567,0.48604860486048607,0.381570408825438,0.19432244831741907,0.1606898826018392,0.22730380330181138,3.1918813453982606e-29,0.3915064302433999,0.12391024605620941,1.450884765649618,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,US_INDEX,BROKER,Mon,1100.0,468.0,249.0,0.532051282051282,0.4867674651598206,0.5768132131361923,0.4536363636363636,0.39556962025316456,0.1364816617981175,0.0769511514790053,0.1947993995397506,7.660609934944004e-06,0.2745564284345867,0.3157370612471156,2.1708834624707327,,,,,,,,,
upside_symmetry,Dukascopy_1m,COMMOD,BROKER,Mon,1650.0,944.0,562.0,0.5953389830508474,0.5637032169509636,0.6262019600434635,0.5175757575757576,0.41359773371104813,0.1817412493397993,0.13328848925673045,0.22898112481677302,3.114104160090604e-13,0.3655290678514942,0.024705869367523756,0.19538104190151853,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,BROKER,Mon,485.0,280.0,136.0,0.4857142857142857,0.42776358043979523,0.5440516715207943,0.44742268041237115,0.3951219512195122,0.0905923344947735,0.0010498020324381796,0.17748868869702858,0.052425377412559086,0.18275018400283893,-0.24693009671476684,-1.084767906279714,,,,,,,,,
upside_symmetry,Dukascopy_1m,FX,BROKER,Mon,3333.0,1895.0,1160.0,0.6121372031662269,0.5899928718922222,0.6338278152039786,0.5310531053105311,0.4242002781641168,0.18793692500211007,0.1540029128569176,0.22126890185131887,5.533004080016011e-27,0.37838463065537775,0.07281215410757301,0.8438776601979515,,,,,,,,,
upside_symmetry,Dukascopy_1m,US_INDEX,BROKER,Mon,1100.0,677.0,445.0,0.6573116691285081,0.6207629612175997,0.6920852022431622,0.5972727272727273,0.5011820330969267,0.15612963603158148,0.09625710842658144,0.21495249295431437,4.0204881798893085e-07,0.3176957462744834,-0.1587521981897769,-0.9476599515090506,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,COMMOD,BROKER,Mon,1650.0,807.0,380.0,0.4708798017348203,0.4366607158608339,0.5053748084840142,0.5175757575757576,0.5622775800711743,-0.09139777833635404,-0.13902851448642162,-0.043175315639375385,0.00021861100583625315,-0.1831528589619793,0.11508876095625842,0.9283595111028693,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,CRYPTO,BROKER,Mon,485.0,236.0,98.0,0.4152542372881356,0.35423387737396234,0.4789892851406384,0.44742268041237115,0.4779116465863454,-0.06265740929820979,-0.14958214938162512,0.025727722754240595,0.17171402483221868,-0.126122618309372,0.17280349842495754,0.7779361270308205,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,FX,BROKER,Mon,3333.0,1792.0,859.0,0.47935267857142855,0.456291402678399,0.5025022872453234,0.5310531053105311,0.591174561972745,-0.11182188340131644,-0.1453151203543246,-0.07793808451455239,1.1578382921559102e-10,-0.22468149389869363,-0.09335946842625951,-1.0737439733373408,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,US_INDEX,BROKER,Mon,1100.0,468.0,253.0,0.5405982905982906,0.49530060784742347,0.5852349179941928,0.5972727272727273,0.6392405063291139,-0.09864221573082332,-0.15681206045400292,-0.03990627623896021,0.0012128582310609506,-0.2009261281198731,0.1352517638206178,0.9098075941151998,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,COMMOD,BROKER,Tue,1668.0,799.0,441.0,0.5519399249061326,0.5172913921158511,0.5860914104139534,0.44844124700239807,0.3532796317606444,0.19866029314548822,0.15124882018713137,0.2448309456902581,3.5256325424533795e-16,0.40189163308540654,0.23369488020802456,1.9765351905519373,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,CRYPTO,BROKER,Tue,486.0,267.0,141.0,0.5280898876404494,0.46823709922572027,0.5871458545706204,0.43415637860082307,0.319634703196347,0.20845518444410238,0.12052476601558386,0.29136805030840235,4.122036443111228e-06,0.42526047989041005,0.21792070100061767,0.97151315191218,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,FX,BROKER,Tue,3342.0,1567.0,885.0,0.564773452456924,0.5400970073101421,0.5891330934489769,0.4790544584081388,0.40338028169014084,0.16139317076678317,0.12765520932951105,0.19461496195822583,1.1930879940304173e-20,0.3243747678223543,-0.11859035392853673,-1.3814723360488295,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,US_INDEX,BROKER,Tue,1110.0,448.0,212.0,0.4732142857142857,0.4274050896128111,0.5194789345698302,0.4477477477477477,0.43051359516616317,0.04270069054812253,-0.01682607768019518,0.10207289682796145,0.1759455988856887,0.08582699755385814,-0.25039917625512,-1.7313261292500488,,,,,,,,,
upside_symmetry,Dukascopy_1m,COMMOD,BROKER,Tue,1668.0,903.0,564.0,0.6245847176079734,0.5925363322994627,0.6555775996469243,0.5347721822541966,0.4287581699346405,0.1958265476733329,0.148119051257708,0.24229862778107528,1.2627966879060548e-15,0.3947927724455742,-0.13550320278360614,-1.0729330712415555,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,BROKER,Tue,486.0,276.0,173.0,0.6268115942028986,0.5683778131770219,0.6817638216436137,0.5246913580246914,0.3904761904761905,0.23633540372670808,0.14714353473693592,0.3202734747081738,2.622603678456963e-07,0.47726236363455876,0.33613679080683667,1.5403406881599628,,,,,,,,,
upside_symmetry,Dukascopy_1m,FX,BROKER,Tue,3342.0,1718.0,1048.0,0.610011641443539,0.5867268102296652,0.6328055968125581,0.5221424296828246,0.4291871921182266,0.18082444932531244,0.14723272283218708,0.21383524760197628,1.3705602956044645e-25,0.36394172913538836,-0.10251231721990206,-1.1846696097058766,,,,,,,,,
upside_symmetry,Dukascopy_1m,US_INDEX,BROKER,Tue,1110.0,611.0,400.0,0.6546644844517185,0.6161022974291348,0.6912940196027622,0.5630630630630631,0.45090180360721444,0.2037626808445041,0.14535540203709474,0.2603386215478254,1.2347650206957444e-11,0.4128422040849362,0.02610692879908019,0.16346683507190837,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,COMMOD,BROKER,Tue,1668.0,799.0,383.0,0.4793491864831039,0.4448911394628152,0.5140048547120818,0.5347721822541966,0.5857307249712314,-0.10638153848812748,-0.15361401406552178,-0.05848697782474389,1.5147882355108255e-05,-0.21362627464456074,0.13723703646233135,1.108538344080136,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,CRYPTO,BROKER,Tue,486.0,267.0,133.0,0.49812734082397003,0.43860722596048146,0.5577005771197624,0.5246913580246914,0.5570776255707762,-0.05895028474680619,-0.14652708234398265,0.03011561518587917,0.20248537742360154,-0.1181499777457613,0.30937211929870173,1.3859523670088034,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,FX,BROKER,Tue,3342.0,1567.0,720.0,0.4594767070835992,0.43493105792876846,0.48422055391158564,0.5221424296828246,0.5774647887323944,-0.11798808164879515,-0.15148118238316646,-0.08412191164329524,9.975695593332823e-12,-0.23669174523937997,0.07895990074919741,0.909321255741241,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,US_INDEX,BROKER,Tue,1110.0,448.0,224.0,0.5,0.45389743840457364,0.5461025615954264,0.5630630630630631,0.6057401812688822,-0.10574018126888218,-0.16455107324046908,-0.04616408537046807,0.0005505349706868689,-0.21308933206435032,0.12594735422066713,0.8350882492320406,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,COMMOD,BROKER,Wed,1662.0,774.0,419.0,0.541343669250646,0.506121584052292,0.5761573935905712,0.47352587244283995,0.4144144144144144,0.12692925483623163,0.07886691448504785,0.17419140768200086,2.928125889268047e-07,0.25480011625465626,-0.22873353317130263,-1.9057629691897358,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,CRYPTO,BROKER,Wed,486.0,231.0,136.0,0.5887445887445888,0.5243429696620349,0.6502428986334959,0.45267489711934156,0.32941176470588235,0.25933282403870644,0.1714183716448091,0.34169196903036486,1.281674801988718e-08,0.5266027097530788,0.5514315524874687,2.598393302843726,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,FX,BROKER,Wed,3331.0,1591.0,967.0,0.6077938403519799,0.5835707036876994,0.6314976958092835,0.4923446412488742,0.3867816091954023,0.22101223115657764,0.1875343611675469,0.25377005998553287,2.091362052096654e-37,0.44571150284839667,0.15177210227921833,1.7615937108375224,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,US_INDEX,BROKER,Wed,1108.0,485.0,270.0,0.5567010309278351,0.5122156232168992,0.6002952921475316,0.48465703971119134,0.42857142857142855,0.12812960235640652,0.06885013276547212,0.18616172853442936,2.8425272219988548e-05,0.2569941071499038,0.03678987118491343,0.2563862887592874,,,,,,,,,
upside_symmetry,Dukascopy_1m,COMMOD,BROKER,Wed,1662.0,915.0,534.0,0.5836065573770491,0.5513808628375885,0.615133173431923,0.5030084235860409,0.4042838018741633,0.17932275550288584,0.13130675214570955,0.22614372211452827,3.6962366924988163e-13,0.36062363056367785,-0.1844915579982019,-1.4234961165475226,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,BROKER,Wed,486.0,276.0,139.0,0.5036231884057971,0.4449932558316463,0.5621536480203719,0.43209876543209874,0.3380952380952381,0.165527950310559,0.07696321418925509,0.24975172659257366,0.00030616107288882426,0.33699962810928996,-0.005713134616555066,-0.02555218082099521,,,,,,,,,
