sessdef,variable,variable_label,outcome,outcome_label,n,spearman_rho,spearman_p,lo_tercile,mid_tercile,hi_tercile,hi_minus_lo,welch_p,bh_rank,bh_crit,survives_BH05
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,mfe_down_atr,Mon max down-excursion / ATR,467,0.07195425893396909,0.12047313100910442,0.42911000517966086,0.4475676465519639,0.5322473317106798,0.10313732653101898,0.08275517250074997,42.5,0.035416666666666666,False
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),touch_Blow,Mon touches Fri low,467,-0.2170501510017378,2.196167533600842e-06,0.5796178343949044,0.487012987012987,0.3269230769230769,-0.2526947574718275,5.4372153287808245e-06,9.5,0.007916666666666667,True
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),seq_low_first,Mon reaches Fri low BEFORE Fri high,467,-0.28113772341783866,6.23704778577507e-10,0.5605095541401274,0.42207792207792205,0.25,-0.3105095541401274,1.0742900536904657e-08,3.5,0.002916666666666667,True
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),dn60_atr,Mon down-excursion in first 60m / ATR,467,-0.19681407186456581,1.8376150315649923e-05,0.287509070954138,0.255075718213282,0.1898395836467501,-0.09766948730738792,0.0003816308727377618,13.5,0.011250000000000001,True
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),net60_atr,Mon (down - up) excursion first 60m / ATR,467,-0.09261633501006013,0.04545780147261258,-0.03726330540461194,-0.011445897516558787,-0.074899224636846,-0.03763591923223407,0.4520886772023931,28.5,0.02375,False
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),ret_close_atr,Mon close - open / ATR,467,0.0475730037596098,0.30494481641251003,0.04590394097670264,0.05360715391190564,0.05165398682719411,0.005750045850491471,0.9399078039817639,48.5,0.04041666666666667,False
RTH,fri_frac_closest,when Fri came closest to Thu high (frac of session),mfe_down_atr,Mon max down-excursion / ATR,467,-0.1400958170538493,0.002410464561184823,0.5297638054382324,0.4673696018674361,0.4115185489042303,-0.11824525653400214,0.04345692279714047,18.5,0.015416666666666667,True
RTH,fri_frac_high,when Fri made its high (frac of session),touch_Blow,Mon touches Fri low,467,-0.2170501510017378,2.196167533600842e-06,0.5796178343949044,0.487012987012987,0.3269230769230769,-0.2526947574718275,5.4372153287808245e-06,9.5,0.007916666666666667,True
RTH,fri_frac_high,when Fri made its high (frac of session),seq_low_first,Mon reaches Fri low BEFORE Fri high,467,-0.28113772341783866,6.23704778577507e-10,0.5605095541401274,0.42207792207792205,0.25,-0.3105095541401274,1.0742900536904657e-08,3.5,0.002916666666666667,True
RTH,fri_frac_high,when Fri made its high (frac of session),dn60_atr,Mon down-excursion in first 60m / ATR,467,-0.19681407186456581,1.8376150315649923e-05,0.287509070954138,0.255075718213282,0.1898395836467501,-0.09766948730738792,0.0003816308727377618,13.5,0.011250000000000001,True
