sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH,opens BELOW Fri range (gap already through),mfe_down_atr,109,57,0.5772229939403315,0.3552420827601986,0.2219809111801329,0.04633236598223276,0.4026463398237208,0.009333333333333334
RTH,opens BELOW Fri range (gap already through),mfe_up_atr,109,57,0.6531437871713307,0.6082406461498358,0.04490314102149495,-0.15398417265874714,0.2556877132133587,0.66
RTH,opens BELOW Fri range (gap already through),first_move_dn,109,57,0.5229357798165137,0.2982456140350877,0.22469016578142603,0.04329127540421601,0.40656377306494124,0.012
RTH,opens BELOW Fri range (gap already through),or15_dn,109,57,0.43119266055045874,0.3684210526315789,0.06277160791887981,-0.13020973405050054,0.24446043010246507,0.49866666666666665
RTH,opens BELOW Fri range (gap already through),or30_dn,109,57,0.3761467889908257,0.3684210526315789,0.007725736359246782,-0.18083928364100774,0.19230764503441478,0.9386666666666666
RTH,opens BELOW Fri range (gap already through),dir60_up,109,57,0.5229357798165137,0.6491228070175439,-0.12618702720103014,-0.30333509762408845,0.0625,0.204
RTH,opens BELOW Fri range (gap already through),pen_after_Blow_atr,109,57,1.0602828344138302,0.8442442981535906,0.2160385362602396,-0.07261133225254199,0.5053919425487219,0.14933333333333335
RTH,opens BELOW Fri range (gap already through),bounce_after_Blow_atr,109,57,0.17008394669783192,0.11923843075644389,0.05084551594138803,-0.17412229387501857,0.2928017463053472,0.692
RTH,opens BELOW Fri range (gap already through),mae_before_Blow_atr,109,57,0.050781385497584944,0.06181456093015781,-0.011033175432572866,-0.03148806637015347,0.00892300493214327,0.30266666666666664
BROKER,ALL Mondays,touch_Blow,475,601,0.4968421052631579,0.2911813643926789,0.20566074087047903,0.1312108923727217,0.27527500255333187,0.0
BROKER,ALL Mondays,seq_low_first,475,601,0.4378947368421053,0.2612312811980033,0.17666345564410196,0.10357470475748504,0.2468299426847814,0.0
BROKER,ALL Mondays,Blow_by30,475,601,0.21894736842105264,0.09816971713810316,0.12077765128294948,0.06410930802761776,0.17638822260702802,0.0
BROKER,ALL Mondays,Blow_by60,475,601,0.2294736842105263,0.1048252911813644,0.1246483930291619,0.07063325057729014,0.18086879910250303,0.0
BROKER,ALL Mondays,net30_atr,475,601,0.0021340270786469194,-0.004701259678556558,0.006835286757203478,-0.017845615363779536,0.03234269713877018,0.608
