sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
RTH,fri_first_hour_range_atr,dn60_atr,467,ols,0.025640125514591525,-0.020820242626065227,0.06752908611451561,0.28,20.0,0.011904761904761904,False
RTH,fri_first_hour_range_atr,net60_atr,467,ols,0.01801640827556867,-0.057440092094440016,0.08427742181619605,0.6633333333333333,61.0,0.03630952380952381,False
RTH,fri_first_hour_range_atr,ret_close_atr,467,ols,-0.00512948020333039,-0.13136595305351273,0.11822700276639013,0.85,75.0,0.044642857142857144,False
RTH,fri_first_hour_range_atr,mfe_down_atr,467,ols,0.02178004122612643,-0.06292654007544472,0.10066094392187043,0.58,56.0,0.03333333333333334,False
RTH,open_to_Blow_atr,touch_Blow,467,logit,-3.2713275385427867,-4.6041351349092,-2.4700397678121306,0.0,1.0,0.0005952380952380953,True
RTH,open_to_Blow_atr,seq_low_first,467,logit,-5.200359858584174,-7.0722505276162355,-4.114861322164913,0.0,2.0,0.0011904761904761906,True
RTH,open_to_Blow_atr,dn60_atr,467,ols,-0.015379115736602453,-0.048678084402891404,0.014553136987431171,0.4033333333333333,31.0,0.018452380952380953,False
RTH,open_to_Blow_atr,net60_atr,467,ols,0.07374822817987144,-0.0150155540924959,0.15626218699980726,0.11,12.0,0.0071428571428571435,False
RTH,open_to_Blow_atr,ret_close_atr,467,ols,-0.053776568458787546,-0.171930583621619,0.06532615856433252,0.4,28.0,0.01666666666666667,False
RTH,open_to_Blow_atr,mfe_down_atr,467,ols,-0.033806558923155205,-0.11302157640958391,0.048431887196130605,0.44,37.0,0.022023809523809525,False
BROKER,shortfall_atr,touch_Blow,475,logit,0.028415084318394047,-0.23478300542496944,0.2964533140131346,0.7766666666666666,72.0,0.04285714285714286,False
BROKER,shortfall_atr,seq_low_first,475,logit,0.027774503175516236,-0.2663343012632722,0.29123285448032415,0.8733333333333333,80.0,0.047619047619047616,False
BROKER,shortfall_atr,dn60_atr,475,ols,0.0066903369002579436,-0.012579530110311802,0.029202806352529483,0.5933333333333334,59.0,0.03511904761904762,False
BROKER,shortfall_atr,net60_atr,475,ols,0.0078817143584572,-0.021184612145252777,0.04206251707753831,0.55,54.0,0.03214285714285715,False
BROKER,shortfall_atr,ret_close_atr,475,ols,0.027857113667777884,-0.11295165665990503,0.16382195588897938,0.6,61.0,0.03630952380952381,False
BROKER,shortfall_atr,mfe_down_atr,475,ols,0.05433657255506849,-0.03004462681460241,0.15376965699282116,0.24333333333333335,32.0,0.01904761904761905,False
BROKER,fri_frac_high,touch_Blow,475,logit,-0.08114096998042264,-0.3363107465538345,0.19660393688327135,0.56,55.0,0.03273809523809524,False
BROKER,fri_frac_high,seq_low_first,475,logit,-0.12372591529466624,-0.42446052237012133,0.15145097186302403,0.3933333333333333,43.0,0.025595238095238095,False
BROKER,fri_frac_high,dn60_atr,475,ols,-0.00844741007275777,-0.022874024697514456,0.007499828081485827,0.33,38.0,0.022619047619047622,False
BROKER,fri_frac_high,net60_atr,475,ols,-0.011599646082510242,-0.03659930407532919,0.011042129943990068,0.28,36.0,0.02142857142857143,False
BROKER,fri_frac_high,ret_close_atr,475,ols,0.03784529935202588,-0.05572414873736342,0.13393547874237874,0.4033333333333333,44.0,0.02619047619047619,False
BROKER,fri_frac_high,mfe_down_atr,475,ols,-0.04770909369565478,-0.11987827106344842,0.021290549838548938,0.17333333333333334,22.0,0.013095238095238096,False
BROKER,fri_last_hour_ret_atr,touch_Blow,475,logit,0.192600626259032,-0.17136144074827955,0.5048856790882584,0.25666666666666665,35.0,0.020833333333333332,False
