dataset,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled
Dukascopy_1m,COMMOD,BROKER,2017,Fri->Mon,147,77,33,0.42857142857142855,0.32403652422604634,0.5398946793857298,0.4217687074829932,0.4142857142857143,0.014285714285714235,-0.1425379544600957,0.16937728403532148,0.8689679819640765,0.02893195482265587,-0.9172403835296722,-2.0079285576446937
Dukascopy_1m,COMMOD,BROKER,2018,Fri->Mon,153,90,41,0.45555555555555555,0.3565961690755778,0.5581536643079179,0.4117647058823529,0.3492063492063492,0.10634920634920636,-0.05173520980099927,0.25383149038919606,0.24273244319374412,0.21735067217637205,-0.3152729588233978,-0.7495148975506978
Dukascopy_1m,COMMOD,BROKER,2019,Fri->Mon,153,79,37,0.46835443037974683,0.36235784156577755,0.5772859060072555,0.40522875816993464,0.33783783783783783,0.130516592541909,-0.024691748849472367,0.2766237958230674,0.13782553809565676,0.26696388429812057,-0.29384707159703105,-0.7420430578976447
Dukascopy_1m,COMMOD,BROKER,2020,Fri->Mon,150,74,39,0.527027027027027,0.4147735676194863,0.6366129307915197,0.43333333333333335,0.34210526315789475,0.18492176386913223,0.026395888309469512,0.33110002455505416,0.031852375502383,0.3753690008789863,0.4313331419938027,1.1921961833470653
Dukascopy_1m,COMMOD,BROKER,2021,Fri->Mon,150,68,35,0.5147058823529411,0.39834753306325144,0.6294915452743935,0.42,0.34146341463414637,0.17324246771879476,0.014718759447101937,0.3212707853465747,0.045804709530682955,0.3520578285300151,0.09863089536582698,0.22847062870680257
Dukascopy_1m,COMMOD,BROKER,2022,Fri->Mon,147,78,40,0.5128205128205128,0.4039270123076001,0.6205104797510615,0.4421768707482993,0.36231884057971014,0.15050167224080263,-0.009979798336679058,0.2997690454586288,0.07047829327247479,0.30461040738015677,0.31944790210048185,0.8781697584175087
Dukascopy_1m,COMMOD,BROKER,2023,Fri->Mon,147,59,29,0.4915254237288136,0.3684383690774015,0.6156485694061034,0.4217687074829932,0.375,0.11652542372881358,-0.04485949912826906,0.2721778135539587,0.1762277223995114,0.23573029098695186,-0.4021861439523056,-0.8566989705510147
Dukascopy_1m,COMMOD,BROKER,2024,Fri->Mon,153,57,32,0.5614035087719298,0.43278009454231503,0.6822730310020559,0.477124183006536,0.4270833333333333,0.13432017543859648,-0.02852546855718649,0.2876005092191306,0.13242594149354767,0.26947307743103455,-0.01092095111135895,-0.028335604046177968
Dukascopy_1m,COMMOD,BROKER,2025,Fri->Mon,153,68,36,0.5294117647058824,0.4124092208872794,0.6432689357880106,0.43137254901960786,0.35294117647058826,0.1764705882352941,0.018636596021663066,0.32361928266645834,0.033434183912307056,0.3573897071319574,0.4065264291630545,1.1381875221565372
Dukascopy_1m,COMMOD,BROKER,2026,Fri->Mon,108,65,28,0.4307692307692308,0.3175945741563928,0.5516702532575414,0.37962962962962965,0.3023255813953488,0.12844364937388197,-0.058448134405956614,0.29620551985234045,0.2254290745743519,0.2675397763491414,-0.09323483131267746,-0.1929299395301843
Dukascopy_1m,FX,BROKER,2016,Fri->Mon,312,152,81,0.5328947368421053,0.45374850912928033,0.6104192680185561,0.44551282051282054,0.3625,0.17039473684210532,0.0600396541613865,0.2751518140985114,0.003024200843254966,0.3444267276859099,-0.057817388460963876,-0.20800684453281046
Dukascopy_1m,FX,BROKER,2017,Fri->Mon,306,164,62,0.3780487804878049,0.3074283318913452,0.4542515278938809,0.38235294117647056,0.3873239436619718,-0.009275163174166934,-0.117557488819963,0.09845338983830278,0.9063584298409525,-0.019083361265809673,-0.4116381181551061,-1.468030897921949
Dukascopy_1m,FX,BROKER,2018,Fri->Mon,312,172,81,0.47093023255813954,0.3977853547303402,0.5453452353644737,0.4326923076923077,0.38571428571428573,0.08521594684385381,-0.02515829386432951,0.1919774744505074,0.13706500298443436,0.1724376725507395,-0.14218960153181542,-0.5242883592588187
Dukascopy_1m,FX,BROKER,2019,Fri->Mon,312,161,86,0.5341614906832298,0.45721141728799536,0.609519368029582,0.4423076923076923,0.3443708609271523,0.18979062975607752,0.0796489486055106,0.29338254571276984,0.0009228024493889405,0.38489304466049723,-0.15250603587466274,-0.52624869500021
Dukascopy_1m,FX,BROKER,2020,Fri->Mon,312,172,88,0.5116279069767442,0.43749121718490735,0.5852565467771672,0.44551282051282054,0.36428571428571427,0.14734219269102994,0.036536692285338276,0.25251558711520167,0.011663247607010303,0.2981349261191786,0.22916247719310626,0.8962759486384225
Dukascopy_1m,FX,BROKER,2021,Fri->Mon,312,164,82,0.5,0.424357047388029,0.5756429526119711,0.42948717948717946,0.35135135135135137,0.14864864864864863,0.03870446146136318,0.2532626526317221,0.008645410756879126,0.3018607090406955,-0.17503274887298412,-0.5990078304750175
Dukascopy_1m,FX,BROKER,2022,Fri->Mon,312,174,89,0.5114942528735632,0.43777948301403447,0.5847124602399452,0.41346153846153844,0.2898550724637681,0.22163918040979508,0.11243443474718122,0.32237668476557413,8.269276755370354e-05,0.4567552657528202,0.25389016721616287,0.9071440894887867
Dukascopy_1m,FX,BROKER,2023,Fri->Mon,303,149,73,0.4899328859060403,0.4109336453613852,0.569438172448078,0.4158415841584158,0.34415584415584416,0.14577704175019612,0.03475504985144241,0.2519851842204304,0.010641070764552386,0.2968337523731317,-0.3302957400426455,-1.0504376041754706
Dukascopy_1m,FX,BROKER,2024,Fri->Mon,312,152,75,0.4934210526315789,0.4150885967902005,0.5720778477802321,0.4326923076923077,0.375,0.11842105263157893,0.008497404549927201,0.22455501700921918,0.039832630601365215,0.23952198070417619,0.11950249494609584,0.46513235870490804
Dukascopy_1m,FX,BROKER,2025,Fri->Mon,312,178,92,0.5168539325842697,0.44386555514767745,0.5891302206171681,0.44871794871794873,0.3582089552238806,0.15864497736038913,0.04729523844982923,0.2636621845123349,0.005860881180284974,0.32124174550462326,0.3028850915033104,1.1499282420825654
Dukascopy_1m,FX,BROKER,2026,Fri->Mon,222,123,66,0.5365853658536586,0.4486898633729702,0.6222648550895681,0.45495495495495497,0.35353535353535354,0.18305001231830503,0.051386652470640726,0.305218297192662,0.006970931556397655,0.3705252719049903,0.01246794036882483,0.03802641810972159
Dukascopy_1m,US_INDEX,BROKER,2016,Fri->Mon,98,48,21,0.4375,0.30701269040654244,0.5772498258017222,0.30612244897959184,0.18,0.2575,0.07474104145487834,0.41968195547013987,0.008197061218845461,0.5691704344584907,0.560895487159017,1.0636471084214478
Dukascopy_1m,US_INDEX,BROKER,2017,Fri->Mon,98,39,16,0.41025641025641024,0.27079310000725176,0.5658137711710304,0.2755102040816326,0.1864406779661017,0.22381573229030854,0.041550096507235984,0.398289854056631,0.020916817672967596,0.4973833875771142,1.0895014620467407,1.9239085372975422
Dukascopy_1m,US_INDEX,BROKER,2018,Fri->Mon,102,47,27,0.574468085106383,0.4328191934549279,0.7048637165632003,0.43137254901960786,0.3090909090909091,0.26537717601547395,0.07230585613838655,0.4335910724511055,0.009215493731200737,0.5412550793888711,0.7138313712646903,1.4516519005312791
